posting_id,공사명,종목,대업종,발주처,지역약칭,기초금액,추정가격,예정가격,예정가격사정률,1순위금액,1순위사정률,1순위업체,참여업체수,개찰일,검색지역,연차구분
[R25BK00634715-000],기초 A값 순공사 상호진출 통영항 동호만 수협 소형선부두 설치공사 [R25BK00634715-000],토목/토건/철콘/포장/토공/수중/준설/보링.그라우팅.파일,철콘/지반조성.포장/수중.준설,경상남도,경남,"5,596,432,000","5,087,665,455","5,554,220,975",-0.75425,"4,807,157,270",-0.74020,주식회사 덕일건설,217,25/02/17 11:00,경남,1~2년전
[R25BK00633995-000],기초 A값 수의 관내 2025년 의창구 도로포장 유지보수(단가계약)공사 [R25BK00633995-000],포장,지반조성.포장,경상남도 창원시 의창구,창원,"119,990,000","109,081,819","119,794,716.29",-0.16275,"106,010,130",-0.14170,도연건설(주),109,25/02/17 11:00,경남,1~2년전
[R25BK00633486-000],기초 A값 순공사 국도58호선 밀양 삼랑진 미전 등 7개소 포장도 보수공사 [R25BK00633486-000],포장,지반조성.포장,국토교통부 부산지방국토관리청 김해국토관리사무소,경남,"110,710,000","100,645,455","111,850,625",1.03028,"99,874,500",1.04401,광덕건설주식회사,407,25/02/17 11:00,경남,1~2년전
[R25BK00633393-000],기초 A값 순공사 상호진출 국도25호선 창원 대산 모산 등 6개소 포장도(야간) 보수공사 [R25BK00633393-000],포장/토목/토건,지반조성.포장,국토교통부 부산지방국토관리청 김해국토관리사무소,경남,"188,560,000","171,418,182","187,637,050",-0.48948,"167,665,154",-0.48900,주식회사 이엔에프건설,742,25/02/17 11:00,경남,1~2년전
[R25BK00633364-000],기초 A값 순공사 상호진출 국도20호선 청도 풍각 금곡 등 6개소 포장도 보수공사 [R25BK00633364-000],포장/토목/토건,지반조성.포장,국토교통부 부산지방국토관리청 김해국토관리사무소,경북/경남,"248,570,000","225,972,728","246,751,775",-0.73148,"219,660,000",-0.72764,주식회사 동화씨엠,"1,022",25/02/17 11:00,경남,1~2년전
[R25BK00633276-000],기초 A값 순공사 상호진출 국도14호선 김해 주촌 덕암 등 5개소 포장도(야간) 보수공사 [R25BK00633276-000],포장/토목/토건,지반조성.포장,국토교통부 부산지방국토관리청 김해국토관리사무소,경남,"212,530,000","193,209,091","212,803,150",0.12852,"190,069,000",0.13068,대산건설 주식회사,737,25/02/17 11:00,경남,1~2년전
[R25BK00633226-000],기초 A값 순공사 상호진출 국도14호선 김해 한림 병동 등 5개소 포장도(야간) 보수공사 [R25BK00633226-000],포장/토목/토건,지반조성.포장,국토교통부 부산지방국토관리청 김해국토관리사무소,경남,"189,440,000","172,218,182","191,066,850",0.85876,"170,442,010",0.85947,주식회사 오성산업,745,25/02/17 11:00,경남,1~2년전
[R25BK00633168-000],기초 A값 순공사 국도14호선 김해 진영 진영 등 3개소 포장도(야간) 보수공사 [R25BK00633168-000],포장,지반조성.포장,국토교통부 부산지방국토관리청 김해국토관리사무소,경남,"134,390,000","122,172,728","132,988,350",-1.04298,"119,060,000",-0.97181,성구건설주식회사,407,25/02/17 11:00,경남,1~2년전
[R25BK00633134-000],기초 A값 순공사 상호진출 국도14호선 창원 동읍 용강 등 5개소 포장도(야간) 보수공사 [R25BK00633134-000],포장/토목/토건,지반조성.포장,국토교통부 부산지방국토관리청 김해국토관리사무소,경남,"193,350,000","175,772,728","191,863,200",-0.76897,"171,088,200",-0.76419,태화건설(주),744,25/02/17 11:00,경남,1~2년전
[R25BK00631061-000],기초 A값 수의 관내 충무동 진희로 노후도로 재포장공사 [R25BK00631061-000],포장,지반조성.포장,경상남도 창원시 진해구,창원,"26,580,000","24,163,637","26,493,275",-0.32628,"23,398,052",-0.30439,경민토건 주식회사,107,25/02/17 11:00,경남,1~2년전
[R25BK00631014-000],"기초 A값 수의 관내 용원 제1,2지하차도 및 상가지역 노후 보도블록 정비공사 [R25BK00631014-000]",포장,지반조성.포장,경상남도 창원시 진해구,창원,"97,325,000","88,477,273","96,096,825",-1.26194,"85,640,480",-1.22970,제이엔포장건설 주식회사,112,25/02/17 11:00,경남,1~2년전
[R25BK00630934-000],기초 A값 수의 관내 풍호로(풍호동 709-7번지 일원) 보행환경 개선사업 [R25BK00630934-000],포장,지반조성.포장,경상남도 창원시 진해구,창원,"51,179,000","46,526,364","51,063,375",-0.22593,"45,222,650",-0.20100,화진개발 주식회사,112,25/02/17 11:00,경남,1~2년전
[R25BK00630212-000],기초 A값 수의 관내 용호마을 안길 정비사업 견적 제출 공고 [R25BK00630212-000],포장/토공/보링.그라우팅.파일,지반조성.포장,경상남도 고성군 농업기술센터,고성,"40,530,000","36,845,455","40,731,150",0.49629,"35,974,250",0.51794,백은건설 주식회사,31,25/02/17 11:00,경남,1~2년전
[R25BK00625916-000],A값 수의 관내 공사 수의계약 견적제출 안내 공고(실외 승마경기장 리모델링공사) [R25BK00625916-000],토공,지반조성.포장,경상남도 함안군 승마공원,함안,"179,980,000","163,618,182","180,260,825",0.15603,"159,149,650",0.23520,주식회사 태산,23,25/02/17 11:00,경남,1~2년전
[E012500619],기초 A값 순공사 진해 풍호장천지구 간선설치 압입공사 [E012500619],전기/보링.그라우팅.파일,지반조성.포장,한국전력공사 경남본부,경남,"106,216,000","96,560,000",0,0,,,유찰,0,25/02/17 11:00,경남,1~2년전
[R25BK00639452-000],수의 시담 관내 반계로 일원 나무뿌리 제거공사(수의시담) [R25BK00639452-000],상.하수도,상.하수도,경상남도 창원시 하수도사업소,창원,-,"84,360,818","92,452,530",,"82,000,000",,주식회사 지엔티건설,1,25/02/14 16:00,경남,1~2년전
[R25BK00626581-001],정정 기초 A값 수의 관내 상호진출 지곡면소재지 지방상수도 유수율제고사업 [R25BK00626581-001],토목/토건/포장/토공/상.하수도/보링.그라우팅.파일,지반조성.포장/상.하수도,경상남도 함양군 상하수도사업소,함양,"370,220,000","335,542,856","362,574,100",-2.06524,"323,197,000",-1.50249,주식회사 대경,36,25/02/14 15:00,경남,1~2년전
[R25BK00631399-000],기초 A값 수의 관내 봉림2소류지 정비사업 [R25BK00631399-000],보링.그라우팅.파일,지반조성.포장,경상남도 고성군,고성,"90,400,000","82,181,818","89,132,850",-1.40172,"79,238,000",-0.93120,주식회사 신보건설,15,25/02/14 11:00,경남,1~2년전
[R25BK00631371-000],기초 A값 수의 관내 영오면 체육공원 축구장 인조잔디 교체사업 [R25BK00631371-000],토공,지반조성.포장,경상남도 고성군,고성,"34,500,000","31,363,636","35,014,175",1.49036,"31,050,000",1.63492,주식회사 조광지질,26,25/02/14 11:00,경남,1~2년전
[R25BK00628891-000],기초 A값 수의 관내 효암고등학교 인근 보도 정비공사 [R25BK00628891-000],포장,지반조성.포장,경상남도 양산시 웅상출장소,양산,"71,860,000","65,327,273","71,604,400",-0.35570,"63,306,030",-0.32499,백산건설(주),28,25/02/14 11:00,경남,1~2년전
[R25BK00627948-000],기초 A값 수의 관내 진해구 안골로89번길 노후 오수관로 정비공사 [R25BK00627948-000],상.하수도,상.하수도,경상남도 창원시 하수도사업소,창원,"89,700,000","81,545,455","88,344,475",-1.51118,"78,543,178",-1.22850,주식회사 삼봉건설,74,25/02/14 11:00,경남,1~2년전
[R25BK00622110-000],기초 A값 수의 관내 2025년 1분기 남부지구 하수도 준설공사 [R25BK00622110-000],상.하수도,상.하수도,경상남도 거제시,거제,"77,715,000","70,650,000","78,322,375",0.78154,"70,520,000",2.83196,주식회사 거가환경,3,25/02/14 11:00,경남,1~2년전
[R25BK00622035-000],기초 A값 수의 관내 2025년 1분기 북부지구 하수도 준설공사 [R25BK00622035-000],상.하수도,상.하수도,경상남도 거제시,거제,"77,220,000","70,200,000","76,897,100",-0.41816,"70,073,289",2.83794,주식회사 거진환경개발,3,25/02/14 11:00,경남,1~2년전
